raw_affiliation,affiliation_name,wikidata
"State Key Lab. of Virtual Reality Technol. & Syst., Beihang Univ., Beijing, China",beihang university,http://www.wikidata.org/entity/Q2299797
"Dept. of Comput. Sci., Nat. Univ. of Singapore, Singapore, Singapore",national university of singapore,http://www.wikidata.org/entity/Q738236
"Microsoft Res. Asia, Mountain View, CA, USA",microsoft research asia,http://www.wikidata.org/entity/Q6840202
"Univ. of Hong Kong, Hong Kong, China",university of hong kong,http://www.wikidata.org/entity/Q15568
"Microsoft Res. Asia, Beijing, China",microsoft research asia,http://www.wikidata.org/entity/Q6840202
"Stony Brook University, USA",stony brook university,http://www.wikidata.org/entity/Q969850
"Tulane University, USA",tulane university,http://www.wikidata.org/entity/Q1193547
"Universidade de Sao Paulo, USA",universidade de sao paulo,http://www.wikidata.org/entity/Q835960
"Microsoft Research, USA",microsoft research,http://www.wikidata.org/entity/Q1144725
"Vienna University of Technology (TU Wien), Austria",vienna university of technology (tu wien),https://www.wikidata.org/wiki/Q689400
"Linköping University, Sweden",linköping university,http://www.wikidata.org/entity/Q782600
"Univ. Paris-Saclay, France",university paris-saclay,https://www.wikidata.org/wiki/Q109409389
"The Ohio State University, USA",the ohio state university,http://www.wikidata.org/entity/Q309331
